code,title,credit,description
COMM-485,Media Law and Ethics,3,"Examines the rights, responsibilities, and constraints on public communication in the United States. Emphasis on the effects and interaction of differing ethical constructs and First Amendment theories and sources of constraints on the mass media. Covers regulatory policies affecting advertising, public relations, journalism, and present and future electronic mass mediums. Also examines legal areas of libel, privacy, obscenity, access to and ownership of information, and media outlets. Prerequisite: Junior or senior standing."
COMM-488,World Media Systems,3,"The focus of this class will be to help students identify and understand the key elements that define and influence media systems around the world.   These will include specific philosophies of media systems, the state's relationship with media, how the media is financed, accessibility of the media, and the influence of culture on media audiences.

Specific attention will be given to the process of media globalization and how media imports and exports influence various media systems.   Students will have the opportunity to analyze specific media systems through comparative analysis allowing them to not only have a broader understanding of the variety of media systems around the world, but also to develop a greater appreciation for the factors that influence the development of the media system of the United States."
COMM-490,Special Topics Communication,3,Varied topics of periodic interest not covered in regular course offerings. May be repeated. Prerequisite: Senior standing and permission of instructor.
COMM-499,Indep Study in Communication,1 to 3,Completion of individual course of study under faculty supervision. Topic and credit hours must be approved in advance in accordance with University policy. May be repeated twice for up to six hours credit.
COOP-081,Concurrent Co-Op,0 to 1,"Part-time employment in a professional or paraprofessional role associated with the student's major. Requires full-time student status, prior approval of the job description by the co-op director and submission of a written summary and evaluation of the work experience. Students are expected to work 8-15 hours per week. At least 10 weeks of work must be completed during the semester. May be repeated. Co-requisite: 12 hours of enrolled credit during the fall and spring. "
COOP-091,Professional Practice,0 to 1,"For co-op students only. Students register for Cooperative Education 9X during the Xth co-op work period (e.g., Cooperative Education 93 during the third work period). Requires satisfactory work performance and written co-op work report."
COOP-092,Professional Practice,0,"For co-op students only. Students register for Cooperative Education 9X during the Xth co-op work period (e.g., Cooperative Education 93 during the third work period). Requires satisfactory work performance and written co-op work report."
COOP-093,Professional Practice,0,"For co-op students only. Students register for Cooperative Education 9X during the Xth co-op work period (e.g., Cooperative Education 93 during the third work period). Requires satisfactory work performance and written co-op work report."
COOP-094,Professional Practice,0,"For co-op students only. Students register for Cooperative Education 9X during the Xth co-op work period (e.g., Cooperative Education 93 during the third work period). Requires satisfactory work performance and written co-op work report."
COOP-095,Professional Practice,0,"For co-op students only. Students register for Cooperative Education 9X during the Xth co-op work period (e.g., Cooperative Education 93 during the third work period). Requires satisfactory work performance and written co-op work report."
CRNA-500,Professional Role and Leadersh,4,"Course includes an introduction to the professional components of nurse anesthesia practice emphasizing ethical, social, and the collaborative responsibilities of the CRNA practitioner.  The course also explores the professional attributes required in a doctoral level nursing profession including a commitment to cultural competence, life-long learning and advocacy.  Individual leadership styles will be assessed.  The course will also explore leadership roles at state and national nurse anesthesia association levels. Legal issues involved in the regulation of nurse anesthesia practice, safety and wellness in nurse anesthesia practice, and the history of the profession will also be discussed in the course."
CRNA-502,Health Care Policy and Law for,3,"This course focuses on health care policy, economics and finance and how they impact the nurse anesthesia profession, and the health care of individuals and populations. Health policy proposals, health policies and related issues from the perspective of consumers, advanced practice nurses, other health care professions and other stakeholders will be critically analyzed. The conceptual basis and methods of financial analysis and decision making as they pertain to the healthcare delivery systems are analyzed. Health care economics, marketing principles, and the availability of nurse anesthesia services in both rural populations and within the VA system will be analyzed."
CRNA-510,Pathophysiology 1,3,"This course explores normal anatomy and physiologic processes. Disorders, diseases, and syndromes involving all major body systems are addressed.  Topics include diseases of the cardiovascular, respiratory, central nervous, musculoskeletal, endocrine, renal, and hepatobiliary system as well as pathophysiological changes in the geriatric patient. The course focuses on the pathogenesis, clinical presentation, laboratory findings, prognosis, medical intervention and basic implications related to the administration of anesthesia."
CRNA-511,Pathophysiology II,3,"This is the second in a two-course series exploring normal anatomy and physiologic processes. Disorders, diseases, and syndromes involving all major body systems are addressed.  Topics include diseases of the cardiovascular, respiratory, central nervous, musculoskeletal, endocrine, renal, and hepatobiliary system as well as pathophysiological changes in the geriatric patient. The course focuses on the pathogenesis, clinical presentation, laboratory findings, prognosis, medical intervention and basic implications related to the administration of anesthesia."
CRNA-513,Bsc Pr of Nurs Anesth I,4," This course includes lecture and simulation introducing the basic principles of anesthesia practice.  Coverage of general chemistry, physics, biochemistry, and quantum physics as they relate to anesthesia practice will be included.  Fluid volume assessment and blood component replacement during anesthesia will be covered.  Anesthetic implications involving the endocrine, gastrointestinal, and hematologic systems will be included in the course.  The course will also include discussion of MAC/IV sedation and indications, implications, and potential complications of light, moderate, and deep sedation. Laboratory sessions, including the use of an anesthesia patient simulator, are designed to operationalize theoretical concepts. Prerequisite: CRNA 560"
CRNA-513L,Basic Princ of Nurse Anes Lab,0,"Laboratory sessions, including the use of an anesthesia patient simulator, are designed to operationalize theoretical concepts."
CRNA-514,Bsc Pr of Nurs Anesth II,4,"Lecture and laboratory course which continues to build on concepts studied in the Basics I course.  This course includes case planning protocols and strategies for interventions and problem solving throughout the perioperative period. Students will develop plans of care based on test results and pre-existing conditions.  Extensive coverage of local/regional anesthetics, peripheral nerve blocks, neuraxial including its technique, physiologic alterations, and complications will be in this course. hypotensive and ERAS techniques, the use of imaging for diagnosis, and other conditions that affect the provision of anesthesia This course will focus on readying the student for clinical residency and includes cases encountered in the first clinical residency.  These include basic general, gynecological, orthopedic, ophthalmological, and laparoscopic techniques. The anesthesia patient simulator is also utilized to further operationalize theoretical and critical thinking concepts.  Prerequisites: All first year courses as outlined by CRNA schema"
CRNA-515,Anatomy for Nurse Anesthesia,4,"This course is an online lecture and laboratory-based (3 lecture hours and 2 lab hours) course that introduces the Doctoral-Level Nurse Anesthesia student to the internal and external macroscopic anatomy of the human body.  This course includes a virtual dissection laboratory component with particular interest in clinical correlations and implications as well as clinical imaging studies.  Spatial relationships of structures and how these relationships relate to clinical presentation and basic pathology will also be explored.  This course is part of the introductory sequence to prepare the Doctoral Level Nurse Anesthesia student for continued study in pathophysiology.  Using a comprehensive and systematic approach this course will cover the National Board of Certification and Recertification for Nurse Anesthetists (NBCRNA) required content outline for Anatomy that includes Cardiovascular, Respiratory, Central Nervous System, Endocrine, Hepatic and Renal, Hematologic, Gastrointestinal and Immune systems."
CRNA-560,Introduction to Clinical Anest,3,"This course is designed to provide instruction and practice in basic anesthesia techniques and procedures for the registered nurse entering into anesthesia residency. Focus is placed on basic anesthesia procedures for patient safety, anesthesia machine safety, drug selection and calculations.  Simulation experiences are designed to enhance critical thinking, problem solving, and skill development.  Competency exams will be administered to ensure that students have mastered entry level competency."
CRNA-565,Pre-Clinical Practicum I,1,"This course is designed to provide nurse anesthesia residents (NARs) the experience of observing anesthesia providers in a surgical setting in order to visualize the application of what is being learned in the didactic area. NARs will be introduced to anesthesia care across the lifespan.  With the guidance of a clinical preceptor, NARs will observe pre-operative, intraoperative and postoperative anesthesia services.  NARs will observe as CRNAs communicate with medical providers, OR staff, patients and family members.  NAR will observe the administration of various methods of anesthesia."
CRNA-567,Statistic Appraisal/Evaluation,3,"Statistics for Appraisal and Evaluation provides an introduction to data commonly used in health care. Emphasis is on determining when and how research results may be applicable to a variety of healthcare settings. Includes data descriptions, elements of probability, variables, levels of measurement, sampling, central tendency, hypothesis testing, difference tests, relationship tests, regression analysis, ANOVA, and Chi Square."
CRNA-570,Pre-Clinical Practicum II,1,"This course is designed to provide nurse anesthesia residents (NARs) the experience of observing anesthesia providers in a surgical setting in order to visualize the application of what is being learned in the didactic area. NARs will be introduced to anesthesia care across the lifespan.  With the guidance of a clinical preceptor, NARs will observe pre-operative, intraoperative and postoperative anesthesia services.  NARs will observe as CRNAs communicate with medical providers, OR staff, patients and family members.  NAR will observe the administration of various methods of anesthesia."
CRNA-613,Advanced Princ of Nurs Anest I,3,"This course involves an integrated and comprehensive study of anesthesia for surgical procedures.  Content includes the unique physiologic and pathologic states of patients undergoing orthopedic, ENT, neurosurgical, and gynecological, genitourinary, anal/rectal procedures.  Additional areas of study include management of the difficult airway and an introduction to the special needs of the pediatric population undergoing anesthesia. Prerequisite: All first year courses as outlines by CRNA schema"
CRNA-614,Adv Prncpls of Nurs Aneth II,3,"This course continues to build on the concepts presented in Advanced Principles of Anesthesia I.  Using an integrated and comprehensive approach, the unique physiologic and pathologic states of patients undergoing intrathoracic, vascular, advanced maxiofacial, advanced ear/nose/throat, and advanced pain management procedures. Additional areas of focus include provision of anesthesia for the advanced pediatric population and anesthesia for obstetrics. Special diagnostic and therapeutic procedures include bariatric, NORA, and organ transplantation.   Prerequisite: All first year courses as outlines by CRNA schema and CRNA 613."
CRNA-615,Adv Phys Prin Across Lifespan,3,"This course provides an in-depth examination and review of advanced physiologic principles as they relate to human development across the lifespan, with a focus on their implications for clinical care and anesthesia for specialized interventions. Emphasizing the dynamic changes in organ system function from neonate to geriatric patients, the course explores age-related variations in cardiovascular, respiratory, renal, hepatic, endocrine, and nervous system physiology. Special attention is given to the physiologic considerations of advanced diagnostic and therapeutic procedures, including organ transplantation, advanced pain management techniques, and other specialized interventions. Students will analyze how lifespan-related physiologic variability affects disease progression, response to treatment, and the safety and efficacy of anesthesia for complex medical procedures. This comprehensive understanding of human physiology will enhance students ability to apply evidence-based practice and optimize patient outcomes in diverse healthcare settings. End of course comprehensive evaluation will utilize further simulation-based training to clinically evaluate student."
CRNA-620,Advanced Pharmacology II,3,"This course focuses on advanced pharmacological concepts in anesthetic administration including pharmacodynamics, pharmacokinetics, pharmacotherapeutics and toxicology profiles of adjunct anesthetic drugs and agents.  This course involves problem-solving application to the clinical area. Prerequisite: All first year courses as outlined by CRNA schema."
CRNA-632,Advanced Health Assessment,3,"This course focuses on performing an accurate and thorough history and physical exam.  Mastery of this information is necessary to make diagnostic and therapeutic decisions for patients during the perianesthesia period.  This course is designed to develop a providers knowledge base for differential diagnoses and medical conditions of health and disease to craft an appropriate anesthetic plan.  Documentation, interpersonal communication skills and professionalism will be emphasized in the instruction of all patient encounters."
CRNA-640,Project/Practicum,1,"This course is the first of five-course series that is designed for the student to develop a scholarly proposal appropriate for a CRNA project. The evidence-based proposal includes the following components: (a) a focus on a change that directly or indirectly affects health care outcomes, (b) a focus on a system or population/aggregate, (c) an implementation plan in an arena or area of practice, (d) a plan for sustainability, and (e) an evaluation plan that measures processes and/or outcomes (formative or summative). The CRNA Clinical Project is about process and product, both aspects carry equal importance. The clinical project process is organized and well-delineated to guide the CRNA student towards incorporating specific knowledge and skill set that ultimately improve healthcare delivery, clinical practice, and patient care. This first course will focus on an appropriate topic that has the potential to positively affect healthcare outcomes. Students will meet with CRNA faculty for 1 hour each week. Prerequisite: HSA-567, HSA-507."
CRNA-641,Project/Practicum,1,"This course is the second of five-course series that is designed for the student to develop a scholarly proposal appropriate for a CRNA project. The evidence-based proposal includes the following components: (a) a focus on a change that directly or indirectly affects health care outcomes, (b) a focus on a system or population/aggregate, (c) an implementation plan in an arena or area of practice, (d) a plan for sustainability, and (e) an evaluation plan that measures processes and/or outcomes (formative or summative). The CRNA Clinical Project is about process and product, both aspects carry equal importance. The clinical project process is organized and well-delineated to guide the CRNA student towards incorporating specific knowledge and skill set that ultimately improve healthcare delivery, clinical practice, and patient care. This course will focus on appraising evidence and completing a literature search on an appropriate topic that has potential to positively affect healthcare outcomes. Students will meet with CRNA faculty for 1 hour each week. Prerequisite: All first-year courses as outlines by CRNA schema."
CRNA-642,Project/Practicum,1,"This course is the third of five-course series that is designed for the student to develop a scholarly proposal appropriate for a CRNA project. The evidence-based proposal includes the following components: (a) a focus on a change that directly or indirectly affects health care outcomes, (b) a focus on a system or population/aggregate, (c) an implementation plan in an arena or area of practice, (d) a plan for sustainability, and (e) an evaluation plan that measures processes and/or outcomes (formative or summative). The CRNA Clinical Project is about process and product, both aspects carry equal importance. The clinical project process is organized and well-delineated to guide the CRNA student towards incorporating specific knowledge and skill set that ultimately improve healthcare delivery, clinical practice, and patient care. This course will focus on plan implementation that has the potential to positively affect healthcare outcomes.  Students will meet with CRNA faculty for 1 hour each week. Prerequisite: All first-year courses as outlines by CRNA schema and CRNA 641."
CRNA-655,Introduction to Clinical Pract,4,"This course is designed to provide Student Registered Nurse Anesthetists (SRNAs) experience in the administration of anesthesia in a surgical setting. SRNAs will be introduced to anesthesia care across the lifespan.  With the guidance of a clinical preceptor, SRNAs will perform pre-operative, intraoperative and postoperative anesthesia services under the direct supervision of an anesthesiologist or CRNA.  SRNAs will communicate effectively with medical providers, preceptors, OR staff, patients and family members. SRNA will administer various methods of anesthesia under direct supervision."
CRNA-660,Nurse Anesthesia Clin Pract I,8,"This course is designed to provide nurse anesthesia residents (NARs) experience in the administration of anesthesia in a surgical setting. NARs will be introduced to anesthesia care across the lifespan.  With the guidance of a clinical preceptor, NARs will perform pre-operative, intraoperative and postoperative anesthesia services under the direct supervision of an anesthesiologist or CRNA.  NARs will communicate effectively with medical providers, preceptors, OR staff, patients and family members. NAR will administer various methods of anesthesia under the direct supervision. Prerequisite: All first year courses as outlined by CRNA schema."
CRNA-665,Nurs Anest Clinical Pract II,8,"This full-time clinical course is designed to provide nurse anesthesia residents (NARs) experience in the administration of anesthesia in a surgical setting including outpatient surgery and diagnostic settings. With the guidance of a clinical preceptor, NARs will perform pre-operative, intraoperative and postoperative anesthesia services under the direct supervision of an anesthesiologist or CRNA.  Emphasis is on the development of professional behaviors, written and verbal communication skills, and the performance of the examination and therapeutic interventions previously addressed in didactic coursework. Prerequisite: All first-year courses as outlined by CRNA schema and CRNA 660."
CRNA-670,Nurs Anesth Clinc Pract III,8,"This full-time clinical course is designed to provide nurse anesthesia residents (NARs) experience in the administration of anesthesia in a surgical setting including outpatient surgery and diagnostic settings. This course is designed to provide students with a supervised clinical experience in an outpatient surgery or diagnostic setting.  With the guidance of a clinical preceptor, students will perform pre-operative, intraoperative and postoperative anesthesia services across the lifespan and under the direct supervision of an anesthesiologist or CRNA.  Emphasis is on the development of professional behaviors, written and verbal communication skills, and the performance of the examination and therapeutic interventions previously addressed in didactic coursework. Prerequisites: CRNA 665"
CRNA-740,Project/Practicum,1,"This course is the fourth of a five-course series that is designed for the student to develop a proposal appropriate for a CRNA project. The evidence-based proposal includes the following components: (a) a focus on a change that directly or indirectly affects health care outcomes, (b) a focus on a system of population/aggregate, (c) an implementation plan in an arena or area of practice, (d) a plan for sustainability, and (e) an evaluation plan that measures processes and/or outcomes (formative or summative). The CRNA Clinical Project is about process and product, both aspects carry equal importance. The clinical project process is organized and well-delineated to guide the CRNA student towards incorporating specific knowledge and skill sets that ultimately improve healthcare delivery, clinical practice, and patient care. This course will focus on plan sustainability that has the potential to positively affect healthcare outcomes. Students will meet the CRNA faculty for 1 hour each week."
CRNA-741,Project/Practicum,1,"This course is the fifth of a five-course series that is designed for the student to develop a proposal appropriate for a CRNA project. The evidence-based proposal includes the following components: (a) a focus on a change that directly or indirectly affects health care outcomes, (b) a focus on a system of population/aggregate, (c) an implementation plan in an arena or area of practice, (d) a plan for sustainability, and (e) an evaluation plan that measures processes and/or outcomes (formative or summative). The CRNA Clinical Project is about process and product, both aspects carry equal importance. The clinical project process is organized and well-delineated to guide the CRNA student towards incorporating specific knowledge and skill sets that ultimately improve healthcare delivery, clinical practice, and patient care. This course will focus evaluation of the project and dissemination of the project results that has the potential to positively affect healthcare outcomes. Students will meet the CRNA faculty for 1 hour each week."
CRNA-765,Nurs Anesth Clinic Pract IV,8,"This full-time clinical course is designed to provide nurse anesthesia residents (NARs) experience in the administration of anesthesia in a surgical setting including outpatient surgery and diagnostic settings. With the guidance of a clinical preceptor, students will perform pre-operative, intraoperative and postoperative anesthesia services across the lifespan and under the direct supervision of an anesthesiologist or CRNA.    Emphasis is on the development of professional behaviors, written and verbal communication skills, and the performance of the examination and therapeutic interventions previously addressed in didactic coursework.     Pre-requisites; CRNA 660, CRNA 665, and CRNA 670."
CRNA-770,Nurs Anesth Clinic Pract V,8,"This full-time clinical course is designed to provide nurse anesthesia residents (NARs) experience in the administration of anesthesia in a surgical setting including outpatient surgery and diagnostic settings. With the guidance of a clinical preceptor, NARs will perform pre-operative, intraoperative and postoperative anesthesia services across the lifespan and under the direct supervision of an anesthesiologist or CRNA.  Emphasis is on the development of professional behaviors, written and verbal communication skills, and the performance of the examination and therapeutic interventions previously addressed in didactic coursework. Pre-Requisites: CRNA 660, CRNA 65, CRNA 670, and CRNA 770."
CRNA-780,Nurse Anesthesia Seminar I,2,"This course is the first in a three-course series that is taught concurrently with the Clinical Practicum experiences. Students meet with UE faculty for 2 hours each week. Knowledge and clinical cases that may not be observed during the clinical rotation are discussed. Students will engage in review of culturally sensitive care and discussion of patient cases, including special circumstances such as anesthesia for the patient with cancer, and airway fires.  The importance of personal health and wellness for healthcare professionals will be emphasized. Students will design a study plan to prepare for the NCE. Other topics of discussion include patient handoff in post-anesthesia areas, error management, and social media presence. Pre-Requisites: All second year courses as outlined by CRNA schema. Co-requisite:  CRNA 670"
CRNA-781,Nurse Anesthesia Seminar II,2,"This course is the second in a three course series that is taught concurrently with the Clinical Practicum experiences.  Students meet with UE faculty for 2 hours each week.  Knowledge and clinical cases that may not observed during the clinical rotation are discussed.  Students will engage in review and discussion of patient-centered communication, personal leadership styles, crucial conversations and negotiation, contract negotiation, and common business practices and billing practices.  Students will take the SEE exam during this course.  A score of 425 or higher must be achieved to be submitted as a candidate to take the NCE after graduation. Prerequisite: All second-year courses as outlined by CRNA schema, CRNA 780. Co-requisite: CRNA 765."
CRNA-782,Nurse Anesthesia Seminar III,1,"This course is the third in a three-course series that is taught concurrently with the Clinical Practicum experiences.  Students will meet with UE faculty for 2 hours each week.  Students will engage in discussion of clinical issues important to the profession.  Crisis management and debriefing will continue from Seminar II.  Select topic reviews will be incorporated into this course.  The SEE exam may be taken again during this course if the required score was not received during Seminar II. A score of 425 must have been received on the SEE exam in order to pass this course and be eligible for graduation. Pre-requisite: All second-year courses as outlined by CRNA schema, CRNA 765, RNA 780. Co-requisite CRNA 770."
CS-001,Ots Network Course,0,
CS-101,Intro to Computer Science,3,"Hands-on introduction to computer science and engineering. Meets with electrical and computer engineering sections of Engineering 101. Includes short introductions to programming, robotics, and sensors. Fall."
CS-105,Survey of Computer Science,3,"Intended for students who are not computer science or engineering majors. Provides broad introduction to various concepts and tools used in computing. Topics include number systems, Boolean algebra, problem solving, computability, databases, networking, Internet/Web, user interfaces, artificial intelligence, robotics, and short introduction to programming. Background should include two semesters of high school algebra. Credit not given for more than one of CS 101 or 105 or ENGR 101."
CS-205,Programming for the Sciences,3,"Explores the power and limitations of using computers in the sciences. Includes the study of various approaches to solving scientific problems such as numerical representations, computational numerical methods, and scientific simulations. Course may not be counted toward graduation for computer science or engineering majors. Prerequisite: MATH 134 or 221."
CS-210,Fundamentals of Programming I,3,"Emphasizes problem-solving techniques used in the analysis and design of software solutions, including structured top-down design, abstraction, good programming style, debugging, and testing. Programming constructs covered include control structures, functions, and basic, and aggregate data types. Introduction to  recursion and dynamic allocation. Fall, spring."
CS-215,Fundamentals of Programming II,3,"Project and problem-solving course emphasizes the use of classes for encapsulation of abstract data types and abstract data structures. Topics include classes, templates, dynamic allocation, searching and sorting, recursion, and exception handling. Introduction to algorithm analysis. Prerequisite: Grade of C- or better in CS 210."
CS-220,Logic Design & Machine Org,3,"Introduction to logic design and computer hardware concepts. Topics include Boolean algebra, number representations, sequential logic, counters and registers, microcomputer architecture, and assembly language programming. Spring."
CS-290,Object Oriented Design,3,"In-depth study of abstract data types and objects, including inheritance and polymorphism, frameworks and design patterns, and the use of these principles in problem solving and program design. Prerequisite: CS 215. Spring."
CS-310,Puzzle Programming,1,Study of problem solving under time pressure. Simulation of the programming contest environment. All problems considered come from past programming contests. Highly recommended for any student interested in programming competitions. Prerequisite: CS 215 or permission of instructor. May be repeated for up to three credit hours. Fall.
CS-315,Algorithms and Data Structures,3,"Design and implementation of algorithms and advanced data structures with attention to complexity and space analysis. Problem-solving strategies including greedy and divide-and-conquer algorithms as well as dynamic programming techniques. Prerequisites: CS 215, MATH 370. Spring."
CS-320,Computer Architecture,3,"Studies the architecture of computer systems from four-bit machines to supercomputers. Memory systems, I/O processors, and multi-computer systems are studied in detail. RISC, CISC and Neural Nets are introduced. Establishes the relationship of hardware and software. Includes hands-on projects dealing with graphical user interfaces and their implementation. Prerequisites: CS 210; CS 220 or EE 254. Spring."
CS-350,Computer/Human Interaction,3,"Study of user interface design, including ergonomic factors. Includes hands-on projects dealing with graphical user interfaces and their implementation. Prerequisite: CS 215."
CS-355,Computer Graphics,3,"Fundamental course in computer graphics. Topics include rendering two and three-dimensional images, two and three-dimensional transformations, line clipping, hidden lines, shading, and perspective projections. Prerequisites: CS 215; MATH 323."
CS-375,UNIX System Programming,3,"Coverage of UNIX software development and UNIX administration. Includes discussion of common shells and scripting languages, X Windows, and interprocess communication. Prerequisite: CS 215."
CS-376,Small Computer Software,3,"Introduction to graphical user interface provided by Windows(TM) operating system using C#.NET. Topics include console applications, windows forms, elementary graphics, ASP.Net web forms, ADO.NET, TCP/IP connection between computers, and dynamic-link libraries (DLLs), and/or device drivers. Prerequisites: ENGR 123 or CS 210; EE 254 or CS 220. Same as EE 356. Fall."
CS-380,Programming Languages,3,"Comparative analysis of selected high-level languages. Covers virtual computers represented by various programming languages, representation of data types, sequence control constructs, data access, scoping, typing systems, runtime storage management, languages semantics, alternative, programming paradigms, and parallel language constructs. Prerequisite: CS 215. Fall."
CS-381,Formal Languages,3,"Models of computation including finite automata, regular grammars, regular expressions, pushdown automata, context-free grammars, Turing machines, computability, and undecidability. Prerequisites: CS 210; MATH 370. Fall."
CS-390,Software Engineering,3,"Study of the software design and development process in the context of a large group-programming project. Topics covered include: project management, software management, requirements and specifications methods, software design and implementation, verification and validation, aspects of software testing and documentation standards, technical documents, contracts, risks, and liabilities. Prerequisite: CS 215. Recommended: CS 290. Fall."
CS-391,Software Engineering II,3,"A continuation of CS-390 Software Engineering. Real-world experience developing a large-scale, ongoing software applications for external clients. Topics covered include: project management, quality assurance, and expectation management. Prerequisite: CS 390. Spring."
CS-395,Software Project Management,3,"Issues and techniques for managing software projects. Project evaluation, scope management, stakeholder management, risk assessment, scheduling, quality, rework, negotiation and conflict management. Ethics of software development. Prerequisite or corequisite: CS 390."
CS-413,Software Security,3,"Provides a systematic treatment for software design and implementation to create computer programs and applications that are secure. Types of vulnerabilities and security issues involving software implementation and as well as web, cryptographic, and networking applications are identified and solutions provided including software development lifecycle models that incorporate security. Prerequisite or corequisite: CS 390."
CS-415,Cryptography,3,"Introduces conventional and public-key cryptography, cryptosystems such as DES and RSA, and applications of cryptography to network and system security. Prerequisites: CS 215; MATH 370."
CS-430,Artificial Intelligence,3,"Basic ideas and techniques underlying the design of intelligent computer systems. Topics include heuristic search, problem solving, game playing, knowledge representation, logical inference, and planning. Advanced topics such as robotics, expert systems, learning, and language understanding as time allows. Prerequisite: CS 215. Recommended: CS 315, 380."
CS-440,Databases,3,"Presents database concepts and architectures. Topics include basic file structures, data dictionaries, data models, languages for data definition and queries, and transaction management for data security, concurrency control, and reliability. Hands-on experience with database and query systems. Prerequisites: CS 215; MATH 222."
CS-445,Programming in the Large,3,"Techniques for scaling software to large numbers of users. Topics will include web application programming, database scaling techniques, using web services and APIs, virtualization and containers. Prerequisite: CS 380."
CS-455,Advanced Computer Graphics,3,"Advanced course in computer graphics. Topics include raster graphics, texture mapping, curve approximation, and ray tracing. Prerequisite: CS 355."
CS-470,Operating Systems,3,"Components of operating systems. Tasking and processing, process coordination and scheduling, memory organization and management, device management, security, networks, distributed and real-time systems. Prerequisite: CS 215. Recommended corequisite: CS 320. Spring."
CS-472,Concurrent & Parallel Programm,3,"The various programming models used for parallel architectures. Topics will range from concurrent programming on clusters, to multi-core programming, to highly parallel and GPU programming. Parallel algorithms and strategies.  Prerequisite: CS 470."
CS-473,Mobile Application Development,3,"Hands-on, project-oriented course that explores the principles and tools involved in the design and construction of applications for mobile devices. Topics include and overview of mobile application development, application architecture, managing application resources, designing user interfaces, data storage options, integrating audio and video, and location-based services. Each offering will concentrate on one of the current mobile platforms. Repeatable course for different mobile platform content. Prerequisite: CS 215. Recommended: CS 290."
CS-475,Networks,3,"Digital data communication systems in hardware and software, synchronous and asynchronous communication, standards, protocols, network configurations, network applications. Prerequisites: CS 215; MATH 222."
CS-478,Embedded Syst/Real-Time Progr,3,"Covers real-time programming techniques that are commonly used on embedded systems. Topics include real-time operating system concepts, concurrent programming and task scheduling algorithms, mutual exclusion and synchronization methods, and interprocess communication. Students gain real-world experience by writing applications for two popular embedded operating systems. Prerequisites: EE 354 or CS 215; or permission of instructor. Same as EE 458. Spring."
CS-480,Machine Learning,3,"Machine learning uses interdisciplinary techniques such as statistics, linear algebra, optimization, and computer science to create automated systems that can sift through large volumes of data at high speed to make predictions or decisions without human intervention. Machine learning as a field is now incredibly pervasive, with applications in business intelligence, homeland security, bio-informatics, and civil engineering, etc. This class will familiarize students with a broad cross-section of models and algorithms for machine learning, and prepare students for research or industry application of machine learning techniques."
CS-491,Software Quality Assurance,3,"Various aspects of software quality assurance. Dynamic analysis approaches, such as assertions and testing. Static analysis approaches such as reviews and verification. Emphasis on various testing techniques such as unit, integration, system, acceptance and regression testing. Prerequisite or corequisite: CS 390."
CS-494,Senior Project Seminar,0,Provides guidance for the selection of a topic for the senior design project. Projects (some industry-sponsored) are presented for student selection. An outline and short presentation of the project selected is required. Prerequisite: 12 hours of 300-level computer science courses. Computer engineers may substitute EE 494. Spring.
CS-495,Senior Project Phase I,3,"Plan the computer science project and formulate the preliminary design under the guidance of faculty and industrial advisors. Discussion of the relationship of computer science as a discipline to the humanities and social sciences. Preparation of a written formal proposal and an oral presentation of the proposal. Seminar session addresses ethical, environmental, economic, safety, and ergonomic aspects of computer science. Written reaction to seminar topics. Prerequisites: CS 494; GPA of at least 2.0. Computer engineers may substitute EE 495. Fall."
CS-497,Senior Project Phase II,3,"Student completes and builds the design proposed in CS 495. A formal design review is conducted early in the semester. A practice oral report, a written final report, a final oral report, and a demonstration of the completed project are required. Prerequisite: CS 495. Computer engineers may substitute EE 497."
CS-498,Indep Study in Computer Sci,1 to 3,Independent study of a topic of interest to the student. Requires faculty sponsor and approved detailed study plan.
CS-499,Special Topics in Computer Sci,1 to 3,Study of topics of special interest. Topics will be announced. May be repeated. Prerequisites will be announced when scheduled.
CT-101,Introduction to Creative Techn,3,"Introduction to current and emerging technology used in creative disciplines such as performing arts, live entertainment, and interactive media. Students will gain foundational knowledge of both software and hardware applications and explore how these technologies shape creative processes and industries."
CT-497,Creative Technology Internship,1 to 3,Provides advanced students with the opportunity to work or study in a commercial enterprises or with a professional training program while earning college credit. Program developed in conjunction with faculty. Pre-Requisites: Junior or senior standing; completion of core requirements in field of study; minimum GPA of 3.0; permission of faculty
CT-499,Creative Technology Capstone,3,"Prepares students to interview/apply for opportunities in professional fields, graduate programs, and internships. Acquaints students with the nature of postgraduate training and career options."
CYS-101,Introduction to Cybersecurity,3,"The purpose of this course is to cover basic concepts, including fundamental principles, common attacks, and defense mechanisms in the areas of security, privacy, and networking. Students will be introduced to primitive concepts and building blocks of computer networks with cyber defense elements. This is an introductory level course for students interested in basic networking and cybersecurity."
CYS-210,Cybersecurity Fundamentals I,3,This course introduces cybersecurity fundamentals and concepts. Security models that provide a basis for overarching security solutions are introduced to provide a basis for discussion. Risks and vulnerabilities are examined along with technical controls that can be used to mitigate them. The role of security policy and the incident management framework are examined. Emphasis is placed on building a strong foundation for further study in the field.
CYS-211,System Administration,3,"This course provides a comprehensive introduction to system administration. Topics include authentication and authorization, directory services, system management and system security. Emphasis is placed on enterprise level systems."
CYS-215,Cybersecurity Fundamentals II,3,"Course will investigate additional foundational ideas in cybersecurity and serves as a survey course in the field. The course provides extended exposure to utilizing tools to secure/harden aspects of info systems such as mandatory access control, wireless security, hardware security, cloud security and others.  Prerequisite: CYSEC 210."
CYS-315,Basic Cyber Forensics,3,
